,parcel,nbhd,abstrprd,livearea,finbsmnt,basement,yrbuilt,condition,quality,totunits,stories,gartype,nocars,xtraffic,floorlvl,numbdrm,numbaths,arcstyle,sprice,deduct,netprice,tasp,smonth,syear,qualified,status
8883,02323-09-024-000,247,1112,2038,0,0,1952,Good,C,1,2,Att,2,,,3,3,TWO-STORY,389999,0,389999,398468,10,2011,Q,I
8884,02323-09-024-000,247,1112,2038,0,0,1952,Good,C,1,2,Att,2,,,3,3,TWO-STORY,112450,0,112450,112450,3,2011,U,I
8885,02323-09-035-000,247,1112,1921,0,0,2011,Good,C,1,2,Det,2,,,3,3,TWO-STORY,370000,0,370000,375021,1,2012,Q,I
8886,02323-09-036-000,247,1112,1868,0,0,2011,Good,C,1,2,Det,2,,,3,3,TWO-STORY,379000,0,379000,382086,3,2012,Q,I
8887,02323-11-005-000,247,1112,1506,0,0,1951,AVG,C,1,1,Det,2,,,4,2,ONE-STORY,159000,0,159000,159000,6,2012,U,I
8888,02323-11-012-000,247,1112,2181,0,482,1885,Good,C,1,3,Det,3,,,3,2,TWO AND HALF-STORY,320000,8000,312000,322162,6,2011,Q,I
8889,02323-11-013-000,247,1112,1702,0,334,1880,AVG,C,1,2,Det,2,,,4,4,TWO-STORY,329000,9600,319400,331537,4,2011,Q,I
8890,02323-11-013-000,247,1112,1702,0,334,1880,AVG,C,1,2,Det,2,,,4,4,TWO-STORY,202500,0,202500,202500,7,2010,U,I
8891,02323-11-023-000,247,1114,738,590,738,1947,AVG,C,1,1,Det,1,,,2,1,END UNIT,74000,0,74000,74000,6,2012,U,I
8892,02323-12-014-000,247,1114,699,0,0,1948,AVG,C,1,1,None,0,,,2,1,END UNIT,71500,2145,69355,74250,8,2010,U,I
8893,02323-13-006-000,247,1112,1025,900,1025,1930,AVG,C,1,1,None,0,,,2,2,ONE-STORY,105000,0,105000,105000,11,2010,U,I
8894,02323-14-009-000,247,1112,1036,936,1036,1999,AVG,C,1,1,Det,3,,,3,3,ONE-STORY,225000,6320,218680,221054,2,2012,Q,I
